country,operator_id,public_code,identifier_type,mac,name
NL,ARR,277,BSSID,D4:CA:6D:88:51:82,
NL,ARR,280,BSSID,D4:CA:6D:76:DD:A7,Arriva 280
NL,ARR,281,BSSID,D4:CA:6D:60:3D:11,
NL,ARR,281,BSSID,D4:CA:6D:88:52:40,
NL,ARR,281,BSSID,D4:CA:6D:88:52:40,
NL,ARR,28,BSSID,06:90:E8:30:DF:87,
NL,ARR,28,BSSID,46:90:E8:30:DF:87,
NL,ARR,297,BSSID,D4:CA:6D:19:9A:A3,
NL,ARR,297,BSSID,D4:CA:6D:95:21:FB,
NL,ARR,355,BSSID,D4:CA:6D:76:DD:9B,
NL,ARR,368,BSSID,06:90:E8:2A:9E:4E,
NL,ARR,382,BSSID,D4:CA:6D:60:3D:17,
NL,ARR,383,BSSID,00:0C:42:1A:75:4F,
NL,ARR,383,BSSID,D4:CA:6D:60:3D:0F,
NL,ARR,383,BSSID,D4:CA:6D:60:3D:0F,
NL,ARR,384,BSSID,D4:CA:6D:76:DD:A3,Arriva 384
NL,ARR,384,BSSID,D4:CA:6D:95:21:C1,Arriva 384
NL,ARR,385,BSSID,D4:CA:6D:76:DD:A5,Arriva 385
NL,ARR,385,BSSID,D4:CA:6D:88:52:34,Arriva 385
NL,ARR,387,BSSID,00:0C:42:1A:75:8B,
NL,ARR,387,BSSID,00:0C:42:1A:76:15,
NL,ARR,388,BSSID,00:0C:42:1A:76:13,
NL,ARR,388,BSSID,B8:69:F4:57:A5:0C,
NL,ARR,389,BSSID,00:0C:42:1A:75:6D,
NL,ARR,389,BSSID,D4:CA:6D:95:21:F9,
NL,ARR,390,BSSID,D4:CA:6D:88:51:14,
NL,ARR,390,BSSID,D4:CA:6D:88:52:3A,
NL,ARR,391,BSSID,D4:CA:6D:35:9E:4A,
NL,ARR,391,BSSID,D4:CA:6D:95:21:73,
NL,ARR,391,BSSID,D4:CA:6D:95:21:73,
NL,ARR,457,BSSID,00:0E:8E:6B:4E:27,
NL,ARR,457,BSSID,00:0E:8E:6B:53:9D,
NL,NS,2010,BSSID,00:0E:8E:66:F6:AE,
NL,NS,2011,BSSID,00:0E:8E:66:F6:BF,
NL,NS,2011,BSSID,00:0E:8E:66:F6:BA,WiFi in de trein
NL,NS,2012,BSSID,00:0E:8E:66:F6:C4,
NL,NS,2013,BSSID,00:0E:8E:66:F6:C0,WiFi in de trein
NL,NS,2013,BSSID,00:0E:8E:66:F6:B6,WiFi in de trein
NL,NS,2014,BSSID,00:0E:8E:66:F6:BD,WiFi in de trein
NL,NS,2014,BSSID,00:0E:8E:66:F6:84,WiFi in de trein
NL,NS,2015,BSSID,00:0E:8E:66:F6:A0,WiFi in de trein
NL,NS,2015,BSSID,00:0E:8E:66:F6:AD,WiFi in de trein
NL,NS,2015,BSSID,00:0E:8E:66:F6:8E,WiFi in de trein
NL,NS,2215,BSSID,00:0E:8E:69:9C:FE,
NL,NS,2217,BSSID,00:0E:8E:6B:4E:22,WiFi in de trein
NL,NS,2217,BSSID,00:0E:8E:6B:52:CE,WiFi in de trein
NL,NS,2217,BSSID,00:0E:8E:6B:53:B6,WiFi in de trein
NL,NS,2217,BSSID,00:0E:8E:79:DE:9D,WiFi in de trein
NL,NS,2222,BSSID,00:0E:8E:67:0F:A8,
NL,NS,2229,BSSID,00:0E:8E:6B:53:F2,
NL,NS,2303,BSSID,0A:90:E8:5B:EB:19,
NL,NS,2303,BSSID,0A:90:E8:5F:BC:5A,
NL,NS,2314,BSSID,0A:90:E8:65:FC:29,
NL,NS,2501,BSSID,00:0E:8E:67:0F:BC,WiFi in de trein
NL,NS,2501,BSSID,00:0E:8E:67:0F:94,WiFi in de trein
NL,NS,2501,BSSID,00:0E:8E:66:F6:A7,WiFi in de trein
NL,NS,2501,BSSID,00:0E:8E:67:38:80,WiFi in de trein
NL,NS,2501,BSSID,00:0E:8E:67:0F:95,WiFi in de trein
NL,NS,2516,BSSID,00:0E:8E:69:9D:00,
NL,NS,2523,BSSID,00:0E:8E:6B:52:B3,WiFi in de Trein
NL,NS,2711,BSSID,0A:90:E8:58:8A:5A,
NL,NS,2711,BSSID,0A:90:E8:65:FC:22,
NL,NS,2711,BSSID,0A:90:E8:65:FC:30,
NL,NS,2711,BSSID,0A:90:E8:65:FC:34,
NL,NS,2716,BSSID,0A:90:E8:65:FC:12,
NL,NS,2716,BSSID,0A:90:E8:68:63:12,
NL,NS,2725,BSSID,0A:90:E8:6A:C3:39,
NL,NS,4011,BSSID,00:24:A8:B9:9A:D0,
NL,NS,4011,BSSID,00:24:A8:BA:17:F0,
NL,NS,4012,BSSID,00:24:A8:B9:AE:20,
NL,NS,4016,BSSID,00:24:A8:B9:F9:40,
NL,NS,4016,BSSID,00:24:A8:BA:55:20,
NL,NS,4028,BSSID,00:24:A8:BA:55:00,
NL,NS,4029,BSSID,00:0F:61:B3:FE:E0,
NL,NS,4032,BSSID,00:24:A8:BA:45:50,
NL,NS,4034,BSSID,00:24:A8:B9:CE:30,
NL,NS,4041,BSSID,00:24:A8:B9:DE:B0,
NL,NS,4042,BSSID,00:24:A8:B9:0A:00,
NL,NS,4042,BSSID,00:24:A8:B9:AA:F0,
NL,NS,4042,BSSID,00:24:A8:B9:AA:F0,WiFi in de trein
NL,NS,4042,BSSID,00:24:A8:B9:EE:30,WiFi in de trein
NL,NS,4043,BSSID,00:24:A8:BA:F4:C0,
NL,NS,4044,BSSID,00:0F:61:89:EB:50,
NL,NS,4045,BSSID,00:0F:61:BB:08:A0,
NL,NS,4047,BSSID,00:24:A8:B9:8A:C0,
NL,NS,4048,BSSID,00:24:A8:B9:1A:10,WiFi in de trein
NL,NS,4048,BSSID,00:24:A8:B9:BA:70,WiFi in de trein
NL,NS,4048,BSSID,00:24:A8:BA:37:80,WiFi in de trein
NL,NS,4053,BSSID,00:0F:61:B4:57:50,
NL,NS,4054,BSSID,00:24:A8:B7:77:40,
NL,NS,4055,BSSID,3C:D9:2B:95:76:50,
NL,NS,4056,BSSID,00:0F:61:B4:FA:80,
NL,NS,4057,BSSID,00:0F:61:F0:92:D0,
NL,NS,4058,BSSID,00:0F:61:8E:67:30,
NL,NS,4059,BSSID,00:0F:61:B8:81:50,
NL,NS,4066,BSSID,00:0F:61:B4:79:40,
NL,NS,4067,BSSID,00:0F:61:8D:66:E0,
NL,NS,4068,BSSID,00:0F:61:8E:E5:B0,
NL,NS,4069,BSSID,00:0F:61:F0:92:A0,
NL,NS,4071,BSSID,00:24:A8:B8:E2:D0,WiFi in de trein
NL,NS,4071,BSSID,00:0F:61:B1:54:C0,WiFi in de trein
NL,NS,4075,BSSID,00:0F:61:B2:4C:60,
NL,NS,4077,BSSID,00:0F:61:8D:E8:00,
NL,NS,4077,BSSID,00:0F:61:8E:E6:20,
NL,NS,4078,BSSID,00:03:52:A7:95:90,
NL,NS,4079,BSSID,00:0F:61:BA:94:A0,
NL,NS,4079,BSSID,00:24:A8:B6:0B:30,
NL,NS,4079,BSSID,B4:99:BA:8F:EF:E0,
NL,NS,4082,BSSID,00:0F:61:8E:E5:70,
NL,NS,4083,BSSID,00:0F:61:8E:E6:60,
NL,NS,4087,BSSID,3C:D9:2B:7E:47:E0,
NL,NS,4090,BSSID,00:0F:61:B4:78:80,
NL,NS,4090,BSSID,00:0F:61:BA:89:50,
NL,NS,4092,BSSID,00:0F:61:B8:0A:00,
NL,NS,4093,BSSID,00:0F:61:8D:65:30,
NL,NS,4203,BSSID,00:24:A8:BF:00:C0,
NL,NS,4203,BSSID,00:24:A8:BF:D9:40,
NL,NS,4204,BSSID,00:0F:61:F0:84:80,
NL,NS,4206,BSSID,00:0F:61:F0:8D:70,
NL,NS,4206,BSSID,00:0F:61:F0:91:90,
NL,NS,4208,BSSID,00:0F:61:8E:63:E0,
NL,NS,4210,BSSID,00:0F:61:F0:93:00,
NL,NS,4210,BSSID,00:24:A8:B9:1A:50,WiFi in de Trein
NL,NS,4211,BSSID,00:0F:61:8E:63:10,WiFi in de trein
NL,NS,4211,BSSID,00:0F:61:8E:65:C0,WiFi in de trein
NL,NS,4213,BSSID,00:0F:61:B0:DA:10,
NL,NS,4213,BSSID,00:0F:61:B0:DA:A0,
NL,NS,4214,BSSID,00:0F:61:B3:FF:10,
NL,NS,4215,BSSID,00:24:A8:B6:0C:00,
NL,NS,4217,BSSID,00:0F:61:B5,7C:70,WiFi in de trein
NL,NS,4217,BSSID,00:0F:61:F0:95:30,WiFi in de trein
NL,NS,4218,BSSID,00:03:52:9A:CA:70,
NL,NS,4218,BSSID,00:24:A8:BA:15:80,
NL,NS,4219,BSSID,00:0F:61:8D:66:D0,
NL,NS,4219,BSSID,00:0F:61:8E:61:E0,
NL,NS,4220,BSSID,3C:D9:2B:93:07:30,
NL,NS,4221,BSSID,00:0F:61:B4:79:70,
NL,NS,4223,BSSID,00:0F:61:8E:60:D0,
NL,NS,4225,BSSID,00:03:52:A7:95:10,
NL,NS,4225,BSSID,00:0F:61:F0:8C:D0,
NL,NS,4227,BSSID,00:0F:61:B0:52:10,
NL,NS,4227,BSSID,00:0F:61:B0:5F:00,
NL,NS,4227,BSSID,00:0F:61:B0:5F:20,
NL,NS,4227,BSSID,00:0F:61:B1:5A:10,
NL,NS,4228,BSSID,00:24:A8:B8:F2:A0,
NL,NS,4228,BSSID,00:24:A8:B9:A6:F0,
NL,NS,4229,BSSID,00:0F:61:8D:66:30,
NL,NS,4229,BSSID,00:0F:61:8E:64:70,
NL,NS,4229,BSSID,00:0F:61:8E:66:90,
NL,NS,4229,BSSID,00:0F:61:8E:66:C0,
NL,NS,4231,BSSID,00:24:A8:B9:F9:00,
NL,NS,4231,BSSID,00:24:A8:B9:F9:D0,
NL,NS,4232,BSSID,00:0F:61:89:EB:00,
NL,NS,4232,BSSID,00:24:A8:B9:F9:F0,
NL,NS,4234,BSSID,00:24:A8:BF:89:E0,WiFi in de trein
NL,NS,4234,BSSID,00:24:A8:BF:49:90,WiFi in de trein
NL,NS,4234,BSSID,00:0F:61:8E:61:30,WiFi in de trein
NL,NS,4234,BSSID,00:24:A8:BF:0A:50,WiFi in de trein
NL,NS,4236,BSSID,00:03:52:9A:B0:A0,
NL,NS,4237,BSSID,00:24:A8:B9:BA:80,
NL,NS,4237,BSSID,00:24:A8:B9:DA:10,
NL,NS,4237,BSSID,00:24:A8:BA:0D:E0,
NL,NS,4238,BSSID,00:24:A8:B9:EA:A0,
NL,NS,4242,BSSID,00:24:A8:BF:B9:B0,
NL,NS,4242,BSSID,00:24:A8:BF:E9:50,
NL,NS,4245,BSSID,00:24:A8:B6:4B:C0,
NL,NS,4246,BSSID,00:24:A8:B9:9A:B0,
NL,NS,4246,BSSID,00:24:A8:B9:DA:50,
NL,NS,4249,BSSID,00:24:A8:BA:37:70,
NL,NS,4250,BSSID,00:24:A8:BF:C9:90,
NL,NS,7503,BSSID,00:03:52:9A:2F:60,
NL,NS,7504,BSSID,3C:D9:2B:94:70:10,
NL,NS,7505,BSSID,00:03:52:98:55:C0,
NL,NS,7505,BSSID,3C:D9:2B:93:B4:40,
NL,NS,7506,BSSID,3C:D9:2B:95:10:80,
NL,NS,7510,BSSID,3C:D9:2B:94:01:70,
NL,NS,7513,BSSID,00:24:A8:AD:96:F0,
NL,NS,7513,BSSID,3C:D9:2B:8F:9C:50,
NL,NS,7519,BSSID,3C:D9:2B:94:04:30,
NL,NS,7519,BSSID,3C:D9:2B:94:73:70,
NL,NS,7521,BSSID,3C:D9:2B:91:9F:A0,
NL,NS,7521,BSSID,3C:D9:2B:94:43:30,
NL,NS,7522,BSSID,3C:D9:2B:94:B1:60,WiFi in de trein
NL,NS,7522,BSSID,3C:D9:2B:93:94:70,WiFi in de trein
NL,NS,7526,BSSID,3C:D9:2B:93:15:80,
NL,NS,7527,BSSID,3C:D9:2B:93:A4:C0,
NL,NS,7528,BSSID,3C:D9:2B:93:30:20,
NL,NS,7528,BSSID,3C:D9:2B:93:30:30,
NL,NS,7530,BSSID,00:03:52:A9:6B:10,
NL,NS,7530,BSSID,3C:D9:2B:94:33:F0,
NL,NS,7533,BSSID,3C:D9:2B:94:F2:70,
NL,NS,7534,BSSID,00:0F:61:8E:67:C0,
NL,NS,7538,BSSID,3C:D9:2B:95:20:C0,
NL,NS,7538,BSSID,3C:D9:2B:95:20:D0,
NL,NS,7541,BSSID,3C:D9:2B:93:05:40,
NL,NS,7541,BSSID,3C:D9:2B:93:05:50,
NL,NS,7541,BSSID,3C:D9:2B:94:23:C0,
NL,NS,7541,BSSID,3C:D9:2B:94:23:D0,
NL,NS,7542,BSSID,3C:D9:2B:91:D2:E0,
NL,NS,7543,BSSID,3C:D9:2B:94:E1:10,
NL,NS,7608,BSSID,00:03:52:71:30:F0,
NL,NS,7608,BSSID,3C:D9:2B:94:43:B0,
NL,NS,7608,BSSID,3C:D9:2B:95:46:60,WiFi in de trein
NL,NS,7608,BSSID,3C:D9:2B:95:46:70,WiFi in de trein
NL,NS,7609,BSSID,3C:D9:2B:95:36:40,
NL,NS,7614,BSSID,3C:D9:2B:95:46:B0,
NL,NS,7614,BSSID,3C:D9:2B:95:76:80,WiFi in de trein
NL,NS,7614,BSSID,3C:D9:2B:95:76:90,WiFi in de trein
NL,NS,7614,BSSID,3C:D9:2B:95:C7:F0,WiFi in de trein
NL,NS,7614,BSSID,64:31:50:EA:80:E0,WiFi in de trein
NL,NS,7614,BSSID,64:31:50:EA:80:F0,
NL,NS,7616,BSSID,00:24:A8:AA:FF:30,
NL,NS,7616,BSSID,3C:D9:2B:95:D6:B0,
NL,NS,7617,BSSID,3C:D9:2B:95:66:10,WiFi in de Trein
NL,NS,7620,BSSID,00:0F:61:83:E6:30,
NL,NS,7620,BSSID,3C:D9:2B:91:B2:50,
NL,NS,7620,BSSID,3C:D9:2B:93:E6:50,
NL,NS,7631,BSSID,00:24:A8:AB:54:60,
NL,NS,7631,BSSID,3C:D9:2B:95:D5:70,
NL,NS,7637,BSSID,00:0F:61:7F:D8:A0,
NL,NS,7637,BSSID,3C:D9:2B:93:76:C0,
NL,NS,7639,BSSID,3C:D9:2B:8F:0A:E0,
NL,NS,7645,BSSID,00:24:A8:AA:6F:E0,WiFi in de trein
NL,NS,7645,BSSID,00:24:A8:AA:6F:F0,WiFi in de trein
NL,NS,7645,BSSID,64:31:50:EA:F5:50,
NL,NS,8608,BSSID,3C:D9:2B:95:67:60,WiFi in de trein
NL,NS,8608,BSSID,3C:D9:2B:95:67:70,WiFi in de trein
NL,NS,8614,BSSID,3C:D9:2B:94:03:30,
NL,NS,8614,BSSID,3C:D9:2B:94:03:B0,
NL,NS,8621,BSSID,3C:D9:2B:93:25:F0,WiFi in de trein
NL,NS,8621,BSSID,3C:D9:2B:94:51:40,WiFi in de trein
NL,NS,8621,BSSID,3C:D9:2B:94:51:50,WiFi in de trein
NL,NS,8621,BSSID,3C:D9:2B:94:80:A0,WiFi in de trein
NL,NS,8621,BSSID,3C:D9:2B:94:80:B0,WiFi in de trein
NL,NS,8624,BSSID,3C:D9:2B:93:E6:80,
NL,NS,8624,BSSID,3C:D9:2B:93:E6:90,
NL,NS,8632,BSSID,3C:D9:2B:90:D8:30,
NL,NS,8632,BSSID,3C:D9:2B:95:E6:70,
NL,NS,8633,BSSID,3C:D9:2B:8F:6C:00,
NL,NS,8633,BSSID,3C:D9:2B:8F:6C:10,
NL,NS,8635,BSSID,3C:D9:2B:95:50:F0,
NL,NS,8636,BSSID,3C:D9:2B:94:E3:70,
NL,NS,8637,BSSID,3C:D9:2B:93:54:F0,
NL,NS,8638,BSSID,3C:D9:2B:94:C0:40,WiFi in de trein
NL,NS,8638,BSSID,3C:D9:2B:94:C0:50,WiFi in de trein
NL,NS,8641,BSSID,00:03:52:63:48:50,
NL,NS,8641,BSSID,3C:D9:2B:93:C4:B0,
NL,NS,8644,BSSID,3C:D9:2B:93:A5:D0,
NL,NS,8644,BSSID,3C:D9:2B:94:A1:30,
NL,NS,8645,BSSID,3C:D9:2B:93:17:50,
NL,NS,8645,BSSID,3C:D9:2B:94:E1:90,
NL,NS,8647,BSSID,00:24:A8:AD:27:20,
NL,NS,8651,BSSID,3C:D9:2B:93:C4:70,
NL,NS,8652,BSSID,64:31:50:E9:49:A0,
NL,NS,8652,BSSID,64:31:50:E9:49:B0,
NL,NS,8655,BSSID,00:24:A8:AD:26:F0,WiFi in de trein
NL,NS,8655,BSSID,3C:D9:2B:94:33:60,WiFi in de trein
NL,NS,8655,BSSID,3C:D9:2B:94:33:70,WiFi in de trein
NL,NS,8656,BSSID,3C:D9:2B:94:90:50,
NL,NS,8656,BSSID,3C:D9:2B:95:27:D0,
NL,NS,8656,BSSID,3C:D9:2B:95:F7:E0,
NL,NS,8656,BSSID,3C:D9:2B:95:F7:F0,
NL,NS,8657,BSSID,00:03:52:74:AC:A0,
NL,NS,8657,BSSID,3C:D9:2B:91:C2:E0,
NL,NS,8657,BSSID,3C:D9:2B:94:73:50,
NL,NS,8658,BSSID,3C:D9:2B:91:DE:90,
NL,NS,8660,BSSID,3C:D9:2B:93:05:90,
NL,NS,8661,BSSID,3C:D9:2B:93:D6:40,
NL,NS,8662,BSSID,3C:D9:2B:93:60:70,
NL,NS,8662,BSSID,3C:D9:2B:94:F2:D0,
NL,NS,8663,BSSID,3C:D9:2B:93:F4:F0,
NL,NS,8663,BSSID,3C:D9:2B:94:61:30,
NL,NS,8664,BSSID,3C:D9:2B:95:77:B0,
NL,NS,8665,BSSID,00:03:52:79:89:B0,WiFi in de Trein
NL,NS,8665,BSSID,3C:D9:2B:93:60:F0,
NL,NS,8665,BSSID,3C:D9:2B:94:93:50,
NL,NS,8666,BSSID,00:03:52:90:5F:10,WiFi in de trein
NL,NS,8666,BSSID,00:03:52:7E:B0:00,WiFi in de trein
NL,NS,8681,BSSID,3C:D9:2B:93:C3:C0,
NL,NS,8681,BSSID,3C:D9:2B:93:C3:D0,
NL,NS,8703,BSSID,3C:D9:2B:8F:1B:10,
NL,NS,8705,BSSID,00:24:A8:AD:F6:70,
NL,NS,8707,BSSID,3C:D9:2B:95:40:B0,
NL,NS,8709,BSSID,00:03:52:AE:7F:50,
NL,NS,8709,BSSID,3C:D9:2B:93:67:D0,
NL,NS,8709,BSSID,3C:D9:2B:93:75:D0,
NL,NS,8709,BSSID,3C:D9:2B:93:85:90,
NL,NS,8713,BSSID,00:24:A8:AD:B6:10,
NL,NS,8715,BSSID,3C:D9:2B:93:70:00,
NL,NS,8715,BSSID,3C:D9:2B:95:B6:70,
NL,NS,8719,BSSID,3C:D9:2B:95:3F:20,WiFi in de trein
NL,NS,8719,BSSID,3C:D9:2B:95:3F:30,WiFi in de trein
NL,NS,8719,BSSID,3C:D9:2B:95:D5:90,WiFi in de trein
NL,NS,8719,BSSID,3C:D9:2B:95:D5:80,WiFi in de trein
NL,NS,8721,BSSID,3C:D9:2B:8F:4D:10,
NL,NS,8726,BSSID,3C:D9:2B:93:C5:D0,
NL,NS,8727,BSSID,3C:D9:2B:93:35:70,
NL,NS,8731,BSSID,3C:D9:2B:95:0F:D0,
NL,NS,8733,BSSID,00:24:A8:AD:46:10,
NL,NS,8735,BSSID,3C:D9:2B:91:FD:70,
NL,NS,8739,BSSID,3C:D9:2B:94:23:00,
NL,NS,8743,BSSID,3C:D9:2B:93:64:E0,
NL,NS,8745,BSSID,00:24:A8:AD:96:80,
NL,NS,8746,BSSID,3C:D9:2B:8F:3E:E0,
NL,NS,9402,BSSID,3C:D9:2B:8F:2B:10,
NL,NS,9403,BSSID,64:31:50:E3:08:B0,
NL,NS,9404,BSSID,3C:D9:2B:93:55:F0,
NL,NS,9404,BSSID,3C:D9:2B:94:FF:90,
NL,NS,9406,BSSID,00:24:A8:AB:E4:D0,
NL,NS,9406,BSSID,3C:D9:2B:95:77:30,
NL,NS,9411,BSSID,3C:D9:2B:92:EF:10,
NL,NS,9413,BSSID,00:03:52:81:85:B0,
NL,NS,9413,BSSID,3C:D9:2B:8F:4E:80,
NL,NS,9419,BSSID,3C:D9:2B:94:33:20,WiFi in de trein
NL,NS,9419,BSSID,3C:D9:2B:94:33:30,WiFi in de trein
NL,NS,9419,BSSID,3C:D9:2B:94:C2:90,
NL,NS,9422,BSSID,3C:D9:2B:93:25:A0,
NL,NS,9422,BSSID,3C:D9:2B:93:25:B0,
NL,NS,9423,BSSID,00:03:52:67:34:C0,
NL,NS,9425,BSSID,3C:D9:2B:94:53:80,WiFi in de trein
NL,NS,9425,BSSID,3C:D9:2B:94:53:90,WiFi in de trein
NL,NS,9425,BSSID,FC:3F:DB:79:A8:80,WiFi in de trein
NL,NS,9425,BSSID,00:03:52:79:DC:C0,WiFi in de trein
NL,NS,9427,BSSID,00:24:A8:AD:C6:00,
NL,NS,9427,BSSID,3C:D9:2B:93:26:50,
NL,NS,9427,BSSID,3C:D9:2B:93:B5:50,
NL,NS,9443,BSSID,3C:D9:2B:94:53:30,
NL,NS,9469,BSSID,00:03:52:7E:DF:00,
NL,NS,9478,BSSID,64:31:50:EB:42:10,
NL,NS,9479,BSSID,3C:D9:2B:93:C4:E0,WiFi in de trein
NL,NS,9479,BSSID,3C:D9:2B:93:C4:F0,WiFi in de trein
NL,NS,9514,BSSID,64:31:50:F0:E9:00,
NL,NS,9518,BSSID,3C:D9:2B:93:C6:30,
NL,NS,9518,BSSID,3C:D9:2B:94:F3:D0,
NL,NS,9520,BSSID,3C:D9:2B:93:E4:B0,
NL,NS,9524,BSSID,3C:D9:2B:94:71:D0,
NL,NS,9525,BSSID,3C:D9:2B:94:13:10,
